soc_code,title,aai,aai_manus,rank,frey_probability,label,occupation,claude_usage,employment_2025,median_wage_2025,employment_2010,median_wage_2010,education_level,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,rl_feasibility,cognitive_ability_share
49-3022,Automotive Glass Installers and Repairers,0.0481636212611821,0.0467248754969296,313.0,0.55,,Automotive glass installers and repairers,,20310.0,47630.0,14020.0,33160.0,High school diploma or equivalent,0.0,0.0,0.0,0.0,0.0,0.0,3.938888888888889,0.408171236622139
49-3023,Automotive Service Technicians and Mechanics,0.1045560167447857,0.1003575461862585,330.0,0.59,,Automotive service technicians and mechanics,0.0037784523980143,704640.0,50620.0,587510.0,35790.0,Postsecondary nondegree award,0.0363636363636363,0.0818181818181818,0.1272727272727272,0.0363636363636363,0.0727272727272727,0.109090909090909,8.47857142857143,0.4280965361345656
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0.1032017736159171,0.0966888549888109,404.0,0.73,,Bus and truck mechanics and diesel engine specialists,0.02013003087907645,289960.0,61770.0,222770.0,40850.0,High school diploma or equivalent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3985195154777927
49-3041,Farm Equipment Mechanics and Service Technicians,0.1115124295449624,0.1047392213090239,414.0,0.75,,Farm equipment mechanics and service technicians,,37870.0,56550.0,30300.0,33640.0,High school diploma or equivalent,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1538461538461538,0.173076923076923,0.1923076923076923,10.414285714285715,0.4138500635324015
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",0.1198546270223422,0.1150295573604016,272.0,0.4,,"Mobile heavy equipment mechanics, except engines",0.0067751560240257,176600.0,65510.0,108540.0,44830.0,High school diploma or equivalent,0.05,0.1,0.15,0.05,0.125,0.2,10.62,0.4080746135173119
49-3043,Rail Car Repairers,0.099856597868139,0.0933153980421349,521.0,0.88,,Rail car repairers,,21350.0,67530.0,19280.0,47410.0,High school diploma or equivalent,0.064516129032258,0.0967741935483871,0.1290322580645161,0.064516129032258,0.064516129032258,0.064516129032258,3.2649999999999997,0.39413333333333334
49-3051,Motorboat Mechanics and Service Technicians,0.1009720049301007,0.092987286956084,368.0,0.66,,Motorboat mechanics and service technicians,,23220.0,57550.0,16850.0,35600.0,High school diploma or equivalent,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0384615384615384,0.0769230769230769,4.484615384615385,0.41781593019983115
49-3052,Motorcycle Mechanics,0.0993990068591056,0.0879329433531844,435.0,0.79,,Motorcycle mechanics,0.0019543719300074,13510.0,48580.0,14750.0,31980.0,Postsecondary nondegree award,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43105494658940163
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,0.1133717656464839,0.1092728083869712,578.0,0.93,,Outdoor power equipment and other small engine mechanics,,36060.0,47880.0,25010.0,29580.0,High school diploma or equivalent,0.1428571428571428,0.1785714285714285,0.2142857142857142,0.0714285714285714,0.1071428571428571,0.1428571428571428,14.985714285714286,0.417882420915788
49-3091,Bicycle Repairers,0.0646356776446388,0.0637598080771401,596.0,0.94,,Bicycle repairers,,12170.0,42780.0,9530.0,23660.0,High school diploma or equivalent,0.0,0.1034482758620689,0.2068965517241379,0.0689655172413793,0.0689655172413793,0.0689655172413793,10.414285714285715,0.44000872600349045
49-3092,Recreational Vehicle Service Technicians,0.1052907718464919,0.0984933439444364,329.0,0.59,,Recreational vehicle service technicians,0.0024755377780094,17430.0,52000.0,9540.0,32570.0,High school diploma or equivalent,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0909090909090909,0.1212121212121212,6.035294117647059,0.4235634260932417
49-3093,Tire Repairers and Changers,0.0668435804119717,0.0613571946015187,384.0,0.7,,Tire repairers and changers,,108410.0,37710.0,94120.0,23170.0,High school diploma or equivalent,0.0,0.0,0.0,0.0,0.0,0.0,2.6625,0.39027614571092833
49-9011,Mechanical Door Repairers,0.0800978090276088,0.0771563322504438,547.0,0.91,,Mechanical door repairers,,27120.0,55720.0,13240.0,35780.0,High school diploma or equivalent,0.0909090909090909,0.1363636363636363,0.1818181818181818,0.0454545454545454,0.0681818181818181,0.0909090909090909,10.668000000000001,0.4080900117346587
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",0.1046118853555575,0.0977399325725092,347.0,0.63,,"Control and valve installers and repairers, except mechanical door",0.0023452463160088498,48240.0,74340.0,43430.0,48430.0,High school diploma or equivalent,0.0952380952380952,0.1309523809523809,0.1666666666666666,0.0476190476190476,0.0714285714285714,0.0952380952380952,12.2,0.43621606091078874
